,grad_time,bs,n_workers,loop_time,kwargs,idx
19,0.030839920043945312,9,3,0.05249667167663574,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",19
20,0.02906513214111328,9,3,0.05419802665710449,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",20
21,0.03168082237243652,9,3,0.05795097351074219,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",21
22,0.03230786323547363,9,3,0.05650782585144043,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",22
23,0.03782796859741211,9,3,0.0597691535949707,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",23
24,0.03204488754272461,9,3,0.0543060302734375,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",24
25,0.027213096618652344,9,3,0.04998970031738281,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",25
26,0.028931856155395508,9,3,0.051731109619140625,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",26
27,0.026731014251708984,9,3,0.049529075622558594,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",27
28,0.028872013092041016,9,3,0.05160331726074219,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",28
29,0.03200101852416992,9,3,0.05421304702758789,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",29
30,0.028837919235229492,9,3,0.05118608474731445,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",30
31,0.02469182014465332,9,3,0.04803609848022461,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",31
32,0.033930063247680664,9,3,0.05833101272583008,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",32
33,0.0219728946685791,9,3,0.04491114616394043,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",33
34,0.02518296241760254,9,3,0.047573089599609375,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",34
35,0.028744935989379883,9,3,0.05126810073852539,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",35
36,0.03070688247680664,9,3,0.05291295051574707,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",36
37,0.025406837463378906,9,3,0.0475461483001709,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",37
38,0.029132843017578125,9,3,0.05225491523742676,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",38
39,0.025671958923339844,9,3,0.04852008819580078,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",39
40,0.02970099449157715,9,3,0.05164694786071777,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",40
41,0.03232312202453613,9,3,0.056945085525512695,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",41
42,0.03254103660583496,9,3,0.05512213706970215,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",42
43,0.03286886215209961,9,3,0.053687095642089844,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",43
44,0.03388690948486328,9,3,0.05562281608581543,"{'lr': 0.0433062924, 'batch_growth_rate': 0.3486433523, 'dwell': 100, 'max_batch_size': 1024, 'grads_per_worker': 64, 'initial_batch_size': 24, 'initial_workers': 3, 'epochs': 20000, 'save_freq': 10}",44
